"Case_ID","Sample_ID","Tumor_Type","DiseaseAcronym2","Status","Symbol","Breed_info","Sample_status","Bioproject","Reason_to_exclude"
"BITRIC","SAMN04009639","LYM","BCL","Normal","BCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"BITRIC","SAMN04009635","LYM","BCL","Tumor","BCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"BluKim","SAMN03732776","UCL","UCL","Tumor","UCL BI","No breed provided","Frozen","PRJNA247493","Tumor-SAMN03732776-Total_Pair_reads < 5M"
"BluKim","SAMN03436477","UCL","UCL","Normal","UCL BI","No breed provided","Frozen","PRJNA247493","Tumor-SAMN03732776-Total_Pair_reads < 5M"
"CASLAB","SAMN04002429","LYM","BCL","Normal","BCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CASLAB","SAMN04002421","LYM","BCL","Tumor","BCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CasLea","SAMN03436847","LYM","TCL","Normal","TCL BI","Boxer","Frozen","PRJNA247493","Pass QC"
"CasLea","SAMN03436268","LYM","TCL","Tumor","TCL BI","Boxer","Frozen","PRJNA247493","Pass QC"
"CCB010005","SAMN03436630","OSA","OSA","Normal","OSA BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB010005","SAMN03436891","OSA","OSA","Tumor","OSA BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB010009","SAMN03436628","LYM","BCL","Normal","BCL BI","Golden Retriever","Frozen","PRJNA247493","CCB010009_T/MBGR109_N match=0.9592"
"CCB010009","SAMN03436465","LYM","BCL","Tumor","BCL BI","Golden Retriever","Frozen","PRJNA247493","CCB010009_T/MBGR109_N match=0.9592"
"CCB010010","SAMN03436614","LYM","BCL","Normal","BCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB010010","SAMN03436570","LYM","BCL","Tumor","BCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB010023","SAMN03436671","OSA","OSA","Normal","OSA BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB010023","SAMN03436937","OSA","OSA","Tumor","OSA BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB010024","SAMN03436817","OSA","OSA","Normal","OSA BI","Rottweiler","Frozen","PRJNA247493","Pass QC"
"CCB010024","SAMN03436716","OSA","OSA","Tumor","OSA BI","Rottweiler","Frozen","PRJNA247493","Pass QC"
"CCB010026","SAMN03436827","OSA","OSA","Normal","OSA BI","Rottweiler","Frozen","PRJNA247493","Pass QC"
"CCB010026","SAMN03436691","OSA","OSA","Tumor","OSA BI","Rottweiler","Frozen","PRJNA247493","Pass QC"
"CCB010028","SAMN03436471","LYM","TCL","Normal","TCL BI","Boxer","Frozen","PRJNA247493","Pass QC"
"CCB010028","SAMN03436679","LYM","TCL","Tumor","TCL BI","Boxer","Frozen","PRJNA247493","Pass QC"
"CCB010035","SAMN03436633","OSA","OSA","Normal","OSA BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB010035","SAMN03436631","OSA","OSA","Tumor","OSA BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB010036","SAMN03436809","LYM","BCL","Normal","BCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB010036","SAMN03436266","LYM","BCL","Tumor","BCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB010040","SAMN03436864","LYM","BCL","Normal","BCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB010040","SAMN03436274","LYM","BCL","Tumor","BCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB010054","SAMN03436773","LYM","BCL","Normal","BCL BI","Cocker Spaniel","Frozen","PRJNA247493","Pass QC"
"CCB010054","SAMN03436785","LYM","BCL","Tumor","BCL BI","Cocker Spaniel","Frozen","PRJNA247493","Pass QC"
"CCB010059","SAMN03436666","OSA","OSA","Normal","OSA BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB010059","SAMN03436611","OSA","OSA","Tumor","OSA BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB010060","SAMN03436281","OSA","OSA","Normal","OSA BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB010060","SAMN03436265","OSA","OSA","Tumor","OSA BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB010069","SAMN03436286","OSA","OSA","Normal","OSA BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB010069","SAMN03436687","OSA","OSA","Tumor","OSA BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB010089","SAMN03436271","OSA","OSA","Normal","OSA BI","Rottweiler","Frozen","PRJNA247493","Pass QC"
"CCB010089","SAMN03436646","OSA","OSA","Tumor","OSA BI","Rottweiler","Frozen","PRJNA247493","Pass QC"
"CCB010099","SAMN03436732","LYM","BCL","Normal","BCL BI","Cocker Spaniel","Frozen","PRJNA247493","Pass QC"
"CCB010099","SAMN03436534","LYM","BCL","Tumor","BCL BI","Cocker Spaniel","Frozen","PRJNA247493","Pass QC"
"CCB010102","SAMN03436820","OSA","OSA","Normal","OSA BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB010102","SAMN03436658","OSA","OSA","Tumor","OSA BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB010153","SAMN03436574","LYM","BCL","Normal","BCL BI","Golden Retriever","Frozen","PRJNA247493","SAMN03436668,coverage < 30"
"CCB010153","SAMN03436668","LYM","BCL","Tumor","BCL BI","Golden Retriever","Frozen","PRJNA247493","SAMN03436668,coverage < 30"
"CCB010174","SAMN03436604","UCL","UCL","Tumor","UCL BI","No breed provided","Frozen","PRJNA247493","Pass QC"
"CCB010174","SAMN03436719","UCL","UCL","Normal","UCL BI","No breed provided","Frozen","PRJNA247493","Pass QC"
"CCB010182","SAMN03436811","LYM","BCL","Normal","BCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB010182","SAMN03436643","LYM","BCL","Tumor","BCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB010214","SAMN03436554","LYM","BCL","Normal","BCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB010214","SAMN03436279","LYM","BCL","Tumor","BCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB010217","SAMN03436267","OSA","OSA","Normal","OSA BI","Rottweiler","Frozen","PRJNA247493","Pass QC"
"CCB010217","SAMN03436641","OSA","OSA","Tumor","OSA BI","Rottweiler","Frozen","PRJNA247493","Pass QC"
"CCB010233","SAMN03436654","LYM","TCL","Normal","TCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB010233","SAMN03436629","LYM","TCL","Tumor","TCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB010243","SAMN03436730","LYM","TCL","Normal","TCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB010243","SAMN03436695","LYM","TCL","Tumor","TCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB010253","SAMN03436552","LYM","TCL","Normal","TCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB010253","SAMN03436556","LYM","TCL","Tumor","TCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB010289","SAMN03436562","LYM","TCL","Normal","TCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB010289","SAMN03436660","LYM","TCL","Tumor","TCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB010299","SAMN03436593","UCL","UCL","Tumor","UCL BI","No breed provided","Frozen","PRJNA247493","Pass QC"
"CCB010299","SAMN03436892","UCL","UCL","Normal","UCL BI","No breed provided","Frozen","PRJNA247493","Pass QC"
"CCB010307","SAMN03436888","LYM","BCL","Normal","BCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB010307","SAMN03436723","LYM","BCL","Tumor","BCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB010327","SAMN03436226","OSA","OSA","Normal","OSA BI","Rottweiler","Frozen","PRJNA247493","Pass QC"
"CCB010327","SAMN03436585","OSA","OSA","Tumor","OSA BI","Rottweiler","Frozen","PRJNA247493","Pass QC"
"CCB010330","SAMN03436670","OSA","OSA","Normal","OSA BI","Rottweiler","Frozen","PRJNA247493","Pass QC"
"CCB010330","SAMN03436715","OSA","OSA","Tumor","OSA BI","Rottweiler","Frozen","PRJNA247493","Pass QC"
"CCB010332","SAMN03436705","OSA","OSA","Normal","OSA BI","Rottweiler","Frozen","PRJNA247493","Pass QC"
"CCB010332","SAMN03436549","OSA","OSA","Tumor","OSA BI","Rottweiler","Frozen","PRJNA247493","Pass QC"
"CCB010346","SAMN03436711","LYM","BCL","Normal","BCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB010346","SAMN03436454","LYM","BCL","Tumor","BCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB020009","SAMN03436708","LYM","BCL","Normal","BCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB020009","SAMN03436836","LYM","BCL","Tumor","BCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB020012","SAMN03436717","UCL","UCL","Tumor","UCL BI","No breed provided","Frozen","PRJNA247493","Normal- SAMN03436550,Mean Coverage < 30"
"CCB020012","SAMN03436550","UCL","UCL","Normal","UCL BI","No breed provided","Frozen","PRJNA247493","Normal- SAMN03436550,Mean Coverage < 30"
"CCB020022","SAMN03436514","OSA","OSA","Normal","OSA BI","Rottweiler","Frozen","PRJNA247493","Pass QC"
"CCB020022","SAMN03436466","OSA","OSA","Tumor","OSA BI","Rottweiler","Frozen","PRJNA247493","Pass QC"
"CCB020030","SAMN03436531","LYM","TCL","Normal","TCL BI","Boxer","Frozen","PRJNA247493","Pass QC"
"CCB020030","SAMN03436936","LYM","TCL","Tumor","TCL BI","Boxer","Frozen","PRJNA247493","Pass QC"
"CCB020062","SAMN03436491","UCL","UCL","Tumor","UCL BI","No breed provided","Frozen","PRJNA247493","Pass QC"
"CCB020062","SAMN03436812","UCL","UCL","Normal","UCL BI","No breed provided","Frozen","PRJNA247493","Pass QC"
"CCB020071","SAMN03436283","OSA","OSA","Normal","OSA BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB020071","SAMN03436700","OSA","OSA","Tumor","OSA BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB020081","SAMN03436275","UCL","UCL","Tumor","UCL BI","No breed provided","Frozen","PRJNA247493","SAMN03436490,coverage < 30"
"CCB020081","SAMN03436490","UCL","UCL","Normal","UCL BI","No breed provided","Frozen","PRJNA247493","SAMN03436490,coverage < 30"
"CCB020104","SAMN03436623","LYM","BCL","Normal","BCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB020104","SAMN03436596","LYM","BCL","Tumor","BCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB020156","SAMN03436595","OSA","OSA","Normal","OSA BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB020156","SAMN03436509","OSA","OSA","Tumor","OSA BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB020249","SAMN03436839","LYM","BCL","Normal","BCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB020249","SAMN03436688","LYM","BCL","Tumor","BCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB030003","SAMN03436934","LYM","TCL","Normal","TCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB030003","SAMN03436618","LYM","TCL","Tumor","TCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB030016","SAMN03436677","LYM","TCL","Normal","TCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB030016","SAMN03436487","LYM","TCL","Tumor","TCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB030021","SAMN03436935","LYM","BCL","Normal","BCL BI","Cocker Spaniel","Frozen","PRJNA247493","Normal-SAMN03436935, Unique CDS mapping rate < 0.3"
"CCB030021","SAMN03436675","LYM","BCL","Tumor","BCL BI","Cocker Spaniel","Frozen","PRJNA247493","Normal-SAMN03436935, Unique CDS mapping rate < 0.3"
"CCB030026","SAMN03436854","LYM","TCL","Normal","TCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB030026","SAMN03436676","LYM","TCL","Tumor","TCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB030038","SAMN03436262","UCL","UCL","Tumor","UCL BI","No breed provided","Frozen","PRJNA247493","Pass QC"
"CCB030038","SAMN03436624","UCL","UCL","Normal","UCL BI","No breed provided","Frozen","PRJNA247493","Pass QC"
"CCB030039","SAMN03436662","UCL","UCL","Tumor","UCL BI","No breed provided","Frozen","PRJNA247493","Pass QC"
"CCB030039","SAMN03436526","UCL","UCL","Normal","UCL BI","No breed provided","Frozen","PRJNA247493","Pass QC"
"CCB030059","SAMN03436926","LYM","TCL","Normal","TCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB030059","SAMN03436893","LYM","TCL","Tumor","TCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB030061","SAMN03436527","OSA","OSA","Normal","OSA BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB030061","SAMN03436674","OSA","OSA","Tumor","OSA BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB030075","SAMN03766273","UCL","UCL","Tumor","UCL BI","No breed provided","Frozen","PRJNA247493","Pass QC"
"CCB030075","SAMN03766279","UCL","UCL","Normal","UCL BI","No breed provided","Frozen","PRJNA247493","Pass QC"
"CCB030078","SAMN03436855","OSA","OSA","Normal","OSA BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB030078","SAMN03436503","OSA","OSA","Tumor","OSA BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB030097","SAMN03436482","UCL","UCL","Tumor","UCL BI","No breed provided","Frozen","PRJNA247493","Pass QC"
"CCB030097","SAMN03436650","UCL","UCL","Normal","UCL BI","No breed provided","Frozen","PRJNA247493","Pass QC"
"CCB030108","SAMN03436857","OSA","OSA","Normal","OSA BI","Rottweiler","Frozen","PRJNA247493","Pass QC"
"CCB030108","SAMN03436567","OSA","OSA","Tumor","OSA BI","Rottweiler","Frozen","PRJNA247493","Pass QC"
"CCB030117","SAMN03436690","LYM","BCL","Normal","BCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB030117","SAMN03436744","LYM","BCL","Tumor","BCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB030120","SAMN03766274","UCL","UCL","Tumor","UCL BI","No breed provided","Frozen","PRJNA247493","Pass QC"
"CCB030120","SAMN03766283","UCL","UCL","Normal","UCL BI","No breed provided","Frozen","PRJNA247493","Pass QC"
"CCB030130","SAMN03436456","LYM","BCL","Normal","BCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB030130","SAMN03436515","LYM","BCL","Tumor","BCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB030145","SAMN03436772","LYM","BCL","Normal","BCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB030145","SAMN03436786","LYM","BCL","Tumor","BCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB030156","SAMN03436838","LYM","TCL","Normal","TCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB030156","SAMN03436516","LYM","TCL","Tumor","TCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB030166","SAMN03436525","LYM","TCL","Normal","TCL BI","Boxer","Frozen","PRJNA247493","Pass QC"
"CCB030166","SAMN03436502","LYM","TCL","Tumor","TCL BI","Boxer","Frozen","PRJNA247493","Pass QC"
"CCB030183","SAMN03436282","UCL","UCL","Tumor","UCL BI","No breed provided","Frozen","PRJNA247493","Pass QC"
"CCB030183","SAMN03436481","UCL","UCL","Normal","UCL BI","No breed provided","Frozen","PRJNA247493","Pass QC"
"CCB030193","SAMN03436273","LYM","BCL","Normal","BCL BI","Cocker Spaniel","Frozen","PRJNA247493","Pass QC"
"CCB030193","SAMN03436696","LYM","BCL","Tumor","BCL BI","Cocker Spaniel","Frozen","PRJNA247493","Pass QC"
"CCB030201","SAMN03766282","UCL","UCL","Tumor","UCL BI","No breed provided","Frozen","PRJNA247493","Pass QC"
"CCB030201","SAMN03766270","UCL","UCL","Normal","UCL BI","No breed provided","Frozen","PRJNA247493","Pass QC"
"CCB030212","SAMN03436852","LYM","TCL","Normal","TCL BI","Boxer","Frozen","PRJNA247493","Pass QC"
"CCB030212","SAMN03436216","LYM","TCL","Tumor","TCL BI","Boxer","Frozen","PRJNA247493","Pass QC"
"CCB030224","SAMN03436507","OSA","OSA","Normal","OSA BI","Rottweiler","Frozen","PRJNA247493","Pass QC"
"CCB030224","SAMN03436620","OSA","OSA","Tumor","OSA BI","Rottweiler","Frozen","PRJNA247493","Pass QC"
"CCB030227","SAMN03766276","UCL","UCL","Tumor","UCL BI","No breed provided","Frozen","PRJNA247493","Pass QC"
"CCB030227","SAMN03766275","UCL","UCL","Normal","UCL BI","No breed provided","Frozen","PRJNA247493","Pass QC"
"CCB030251","SAMN03436495","LYM","BCL","Normal","BCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB030251","SAMN03436601","LYM","BCL","Tumor","BCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB030258","SAMN03436532","LYM","TCL","Normal","TCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB030258","SAMN03436285","LYM","TCL","Tumor","TCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB030259","SAMN03436831","LYM","TCL","Normal","TCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB030259","SAMN03436296","LYM","TCL","Tumor","TCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB030265","SAMN03436683","LYM","TCL","Normal","TCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB030265","SAMN03436520","LYM","TCL","Tumor","TCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB030268","SAMN03436722","LYM","BCL","Normal","BCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB030268","SAMN03436814","LYM","BCL","Tumor","BCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB030269","SAMN03436647","UCL","UCL","Tumor","UCL BI","No breed provided","Frozen","PRJNA247493","Pass QC"
"CCB030269","SAMN03436519","UCL","UCL","Normal","UCL BI","No breed provided","Frozen","PRJNA247493","Pass QC"
"CCB030271","SAMN03436612","LYM","TCL","Normal","TCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB030271","SAMN03436635","LYM","TCL","Tumor","TCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB030292","SAMN03436607","LYM","TCL","Normal","TCL BI","Boxer","Frozen","PRJNA247493","Pass QC"
"CCB030292","SAMN03436780","LYM","TCL","Tumor","TCL BI","Boxer","Frozen","PRJNA247493","Pass QC"
"CCB030293","SAMN03436657","UCL","UCL","Tumor","UCL BI","No breed provided","Frozen","PRJNA247493","Pass QC"
"CCB030293","SAMN03436784","UCL","UCL","Normal","UCL BI","No breed provided","Frozen","PRJNA247493","Pass QC"
"CCB030300","SAMN03436856","LYM","TCL","Normal","TCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB030300","SAMN03436572","LYM","TCL","Tumor","TCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB030317","SAMN03436824","LYM","TCL","Normal","TCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB030317","SAMN03436498","LYM","TCL","Tumor","TCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB030342","SAMN03766277","UCL","UCL","Tumor","UCL BI","No breed provided","Frozen","PRJNA247493","Pass QC"
"CCB030342","SAMN03766284","UCL","UCL","Normal","UCL BI","No breed provided","Frozen","PRJNA247493","Pass QC"
"CCB030346","SAMN03436776","LYM","BCL","Normal","BCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB030346","SAMN03436591","LYM","BCL","Tumor","BCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB030357","SAMN03436524","UCL","UCL","Tumor","UCL BI","No breed provided","Frozen","PRJNA247493","80 other samples have a better match"
"CCB030357","SAMN03436619","UCL","UCL","Normal","UCL BI","No breed provided","Frozen","PRJNA247493","80 other samples have a better match"
"CCB030362","SAMN03436924","LYM","BCL","Normal","BCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB030362","SAMN03436287","LYM","BCL","Tumor","BCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB040007","SAMN03436270","UCL","UCL","Tumor","UCL BI","No breed provided","Frozen","PRJNA247493","Pass QC"
"CCB040007","SAMN03436565","UCL","UCL","Normal","UCL BI","No breed provided","Frozen","PRJNA247493","Pass QC"
"CCB040033","SAMN03436512","OSA","OSA","Normal","OSA BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB040033","SAMN03436621","OSA","OSA","Tumor","OSA BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB040038","SAMN03436579","LYM","BCL","Normal","BCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB040038","SAMN03436819","LYM","BCL","Tumor","BCL BI","Golden Retriever","Frozen","PRJNA247493","Pass QC"
"CCB040105","SAMN03436813","UCL","UCL","Tumor","UCL BI","No breed provided","Frozen","PRJNA247493","84 other samples have a better match"
"CCB040105","SAMN03436606","UCL","UCL","Normal","UCL BI","No breed provided","Frozen","PRJNA247493","84 other samples have a better match"
